"GEO_ID","NAME","P001001",
"Geography","Geographic Area Name","Total",
"8600000US00601","ZCTA5 00601","18570",
"8600000US00602","ZCTA5 00602","41520",
"8600000US00603","ZCTA5 00603","54689",
"8600000US00606","ZCTA5 00606","6615",
"8600000US00610","ZCTA5 00610","29016",
"8600000US00612","ZCTA5 00612","67010",
"8600000US00616","ZCTA5 00616","11017",
"8600000US00617","ZCTA5 00617","24597",
"8600000US00622","ZCTA5 00622","7853",
"8600000US00623","ZCTA5 00623","43061",
"8600000US00624","ZCTA5 00624","26241",
"8600000US00627","ZCTA5 00627","35159",
"8600000US00631","ZCTA5 00631","1852",
"8600000US00637","ZCTA5 00637","25287",
"8600000US00638","ZCTA5 00638","18941",
"8600000US00641","ZCTA5 00641","31191",
"8600000US00646","ZCTA5 00646","38199",
"8600000US00647","ZCTA5 00647","6172",
"8600000US00650","ZCTA5 00650","14998",
"8600000US00652","ZCTA5 00652","4715",
"8600000US00653","ZCTA5 00653","13307",
"8600000US00656","ZCTA5 00656","21481",
"8600000US00659","ZCTA5 00659","41953",
"8600000US00660","ZCTA5 00660","17250",
"8600000US00662","ZCTA5 00662","43282",
"8600000US00664","ZCTA5 00664","16784",
"8600000US00667","ZCTA5 00667","25968",
"8600000US00669","ZCTA5 00669","29744",
"8600000US00670","ZCTA5 00670","9807",
"8600000US00674","ZCTA5 00674","44457",
"8600000US00676","ZCTA5 00676","40316",
"8600000US00677","ZCTA5 00677","15272",
"8600000US00678","ZCTA5 00678","27819",
"8600000US00680","ZCTA5 00680","58140",
"8600000US00682","ZCTA5 00682","32615",
"8600000US00683","ZCTA5 00683","33772",
"8600000US00685","ZCTA5 00685","42831",
"8600000US00687","ZCTA5 00687","32610",
"8600000US00688","ZCTA5 00688","13543",
"8600000US00690","ZCTA5 00690","6255",
"8600000US00692","ZCTA5 00692","37511",
"8600000US00693","ZCTA5 00693","61038",
"8600000US00694","ZCTA5 00694","328",
"8600000US00698","ZCTA5 00698","41782",
"8600000US00703","ZCTA5 00703","28605",
"8600000US00704","ZCTA5 00704","8577",
"8600000US00705","ZCTA5 00705","25598",
"8600000US00707","ZCTA5 00707","12225",
"8600000US00714","ZCTA5 00714","19566",
"8600000US00715","ZCTA5 00715","3656",
"8600000US00716","ZCTA5 00716","33779",
"8600000US00717","ZCTA5 00717","18457",
"8600000US00718","ZCTA5 00718","26606",
"8600000US00719","ZCTA5 00719","30990",
"8600000US00720","ZCTA5 00720","23129",
"8600000US00723","ZCTA5 00723","19277",
"8600000US00725","ZCTA5 00725","89374",
"8600000US00727","ZCTA5 00727","58382",
"8600000US00728","ZCTA5 00728","44908",
"8600000US00729","ZCTA5 00729","53750",
"8600000US00730","ZCTA5 00730","35742",
"8600000US00731","ZCTA5 00731","15524",
"8600000US00735","ZCTA5 00735","13730",
"8600000US00736","ZCTA5 00736","51532",
"8600000US00738","ZCTA5 00738","34922",
"8600000US00739","ZCTA5 00739","39678",
"8600000US00740","ZCTA5 00740","2071",
"8600000US00741","ZCTA5 00741","4971",
"8600000US00745","ZCTA5 00745","55062",
"8600000US00751","ZCTA5 00751","23129",
"8600000US00754","ZCTA5 00754","40828",
"8600000US00757","ZCTA5 00757","23263",
"8600000US00765","ZCTA5 00765","9098",
"8600000US00766","ZCTA5 00766","26488",
"8600000US00767","ZCTA5 00767","38019",
"8600000US00769","ZCTA5 00769","40248",
"8600000US00771","ZCTA5 00771","38394",
"8600000US00772","ZCTA5 00772","23105",
"8600000US00773","ZCTA5 00773","20068",
"8600000US00775","ZCTA5 00775","1786",
"8600000US00777","ZCTA5 00777","40684",
"8600000US00778","ZCTA5 00778","45429",
"8600000US00780","ZCTA5 00780","13800",
"8600000US00782","ZCTA5 00782","19304",
"8600000US00783","ZCTA5 00783","36557",
"8600000US00784","ZCTA5 00784","44637",
"8600000US00786","ZCTA5 00786","357",
"8600000US00791","ZCTA5 00791","53417",
"8600000US00794","ZCTA5 00794","30585",
"8600000US00795","ZCTA5 00795","48736",
"8600000US00901","ZCTA5 00901","7080",
"8600000US00906","ZCTA5 00906","4",
"8600000US00907","ZCTA5 00907","17458",
"8600000US00909","ZCTA5 00909","6230",
"8600000US00911","ZCTA5 00911","8623",
"8600000US00912","ZCTA5 00912","6801",
"8600000US00913","ZCTA5 00913","9312",
"8600000US00915","ZCTA5 00915","32820",
"8600000US00917","ZCTA5 00917","21053",
"8600000US00918","ZCTA5 00918","18056",
"8600000US00920","ZCTA5 00920","17893",
"8600000US00921","ZCTA5 00921","37763",
"8600000US00923","ZCTA5 00923","29086",
"8600000US00924","ZCTA5 00924","56691",
"8600000US00925","ZCTA5 00925","8696",
"8600000US00926","ZCTA5 00926","108862",
"8600000US00927","ZCTA5 00927","14936",
"8600000US00934","ZCTA5 00934","288",
"8600000US00936","ZCTA5 00936","681",
"8600000US00949","ZCTA5 00949","82278",
"8600000US00950","ZCTA5 00950","9",
"8600000US00951","ZCTA5 00951","35",
"8600000US00952","ZCTA5 00952","10008",
"8600000US00953","ZCTA5 00953","73014",
"8600000US00956","ZCTA5 00956","79304",
"8600000US00957","ZCTA5 00957","45680",
"8600000US00959","ZCTA5 00959","50560",
"8600000US00960","ZCTA5 00960","1779",
"8600000US00961","ZCTA5 00961","32429",
"8600000US00962","ZCTA5 00962","22491",
"8600000US00965","ZCTA5 00965","9134",
"8600000US00966","ZCTA5 00966","16676",
"8600000US00968","ZCTA5 00968","3478",
"8600000US00969","ZCTA5 00969","42219",
"8600000US00971","ZCTA5 00971","30986",
"8600000US00976","ZCTA5 00976","65136",
"8600000US00979","ZCTA5 00979","17030",
"8600000US00982","ZCTA5 00982","16428",
"8600000US00983","ZCTA5 00983","39234",
"8600000US00985","ZCTA5 00985","36553",
"8600000US00987","ZCTA5 00987","63661",
"8600000US01001","ZCTA5 01001","16769",
"8600000US01002","ZCTA5 01002","29049",
"8600000US01003","ZCTA5 01003","10372",
"8600000US01005","ZCTA5 01005","5079",
"8600000US01007","ZCTA5 01007","14649",
"8600000US01008","ZCTA5 01008","1263",
"8600000US01009","ZCTA5 01009","741",
"8600000US01010","ZCTA5 01010","3609",
"8600000US01011","ZCTA5 01011","1370",
"8600000US01012","ZCTA5 01012","661",
"8600000US01013","ZCTA5 01013","23188",
"8600000US01020","ZCTA5 01020","29668",
"8600000US01022","ZCTA5 01022","2451",
"8600000US01026","ZCTA5 01026","946",
"8600000US01027","ZCTA5 01027","17660",
"8600000US01028","ZCTA5 01028","15720",
"8600000US01029","ZCTA5 01029","789",
"8600000US01030","ZCTA5 01030","11669",
"8600000US01031","ZCTA5 01031","1308",
"8600000US01032","ZCTA5 01032","570",
"8600000US01033","ZCTA5 01033","6227",
"8600000US01034","ZCTA5 01034","2021",
"8600000US01035","ZCTA5 01035","5250",
"8600000US01036","ZCTA5 01036","5109",
"8600000US01037","ZCTA5 01037","838",
"8600000US01038","ZCTA5 01038","2545",
"8600000US01039","ZCTA5 01039","1336",
"8600000US01040","ZCTA5 01040","39880",
"8600000US01050","ZCTA5 01050","2530",
"8600000US01053","ZCTA5 01053","1685",
"8600000US01054","ZCTA5 01054","1851",
"8600000US01056","ZCTA5 01056","21103",
"8600000US01057","ZCTA5 01057","8534",
"8600000US01060","ZCTA5 01060","15284",
"8600000US01062","ZCTA5 01062","11150",
"8600000US01063","ZCTA5 01063","430",
"8600000US01066","ZCTA5 01066","64",
"8600000US01068","ZCTA5 01068","1902",
"8600000US01069","ZCTA5 01069","8469",
"8600000US01070","ZCTA5 01070","629",
"8600000US01071","ZCTA5 01071","1596",
"8600000US01072","ZCTA5 01072","1478",
"8600000US01073","ZCTA5 01073","5792",
"8600000US01074","ZCTA5 01074","319",
"8600000US01075","ZCTA5 01075","17527",
"8600000US01077","ZCTA5 01077","9502",
"8600000US01079","ZCTA5 01079","692",
"8600000US01080","ZCTA5 01080","2334",
"8600000US01081","ZCTA5 01081","1698",
"8600000US01082","ZCTA5 01082","10322",
"8600000US01083","ZCTA5 01083","2888",
"8600000US01084","ZCTA5 01084","176",
"8600000US01085","ZCTA5 01085","41117",
"8600000US01086","ZCTA5 01086","687",
"8600000US01088","ZCTA5 01088","670",
"8600000US01089","ZCTA5 01089","28391",
"8600000US01092","ZCTA5 01092","1394",
"8600000US01093","ZCTA5 01093","325",
"8600000US01094","ZCTA5 01094","351",
"8600000US01095","ZCTA5 01095","14319",
"8600000US01096","ZCTA5 01096","2217",
"8600000US01097","ZCTA5 01097","111",
"8600000US01098","ZCTA5 01098","1101",
"8600000US01103","ZCTA5 01103","2479",
"8600000US01104","ZCTA5 01104","22865",
"8600000US01105","ZCTA5 01105","12350",
"8600000US01106","ZCTA5 01106","16021",
"8600000US01107","ZCTA5 01107","11611",
"8600000US01108","ZCTA5 01108","26688",
"8600000US01109","ZCTA5 01109","30250",
"8600000US01118","ZCTA5 01118","14071",
"8600000US01119","ZCTA5 01119","14152",
"8600000US01128","ZCTA5 01128","2631",
"8600000US01129","ZCTA5 01129","7019",
"8600000US01151","ZCTA5 01151","8698",
"8600000US01199","ZCTA5 01199","0",
"8600000US01201","ZCTA5 01201","46504",
"8600000US01220","ZCTA5 01220","8603",
"8600000US01222","ZCTA5 01222","829",
"8600000US01223","ZCTA5 01223","2314",
"8600000US01224","ZCTA5 01224","182",
"8600000US01225","ZCTA5 01225","3117",
"8600000US01226","ZCTA5 01226","6945",
"8600000US01229","ZCTA5 01229","95",
"8600000US01230","ZCTA5 01230","8430",
"8600000US01235","ZCTA5 01235","2766",
"8600000US01236","ZCTA5 01236","1509",
"8600000US01237","ZCTA5 01237","2496",
"8600000US01238","ZCTA5 01238","6047",
"8600000US01240","ZCTA5 01240","4534",
"8600000US01242","ZCTA5 01242","476",
"8600000US01243","ZCTA5 01243","334",
"8600000US01244","ZCTA5 01244","151",
"8600000US01245","ZCTA5 01245","985",
"8600000US01247","ZCTA5 01247","16087",
"8600000US01253","ZCTA5 01253","731",
"8600000US01254","ZCTA5 01254","972",
"8600000US01255","ZCTA5 01255","915",
"8600000US01256","ZCTA5 01256","692",
"8600000US01257","ZCTA5 01257","2121",
"8600000US01258","ZCTA5 01258","374",
"8600000US01259","ZCTA5 01259","635",
"8600000US01260","ZCTA5 01260","240",
"8600000US01262","ZCTA5 01262","1238",
"8600000US01264","ZCTA5 01264","137",
"8600000US01266","ZCTA5 01266","1463",
"8600000US01267","ZCTA5 01267","7989",
"8600000US01270","ZCTA5 01270","778",
"8600000US01301","ZCTA5 01301","17700",
"8600000US01330","ZCTA5 01330","1506",
"8600000US01331","ZCTA5 01331","13263",
"8600000US01337","ZCTA5 01337","2596",
"8600000US01338","ZCTA5 01338","187",
"8600000US01339","ZCTA5 01339","1438",
"8600000US01340","ZCTA5 01340","1701",
"8600000US01341","ZCTA5 01341","1833",
"8600000US01342","ZCTA5 01342","1492",
"8600000US01343","ZCTA5 01343","75",
"8600000US01344","ZCTA5 01344","1498",
"8600000US01346","ZCTA5 01346","533",
"8600000US01347","ZCTA5 01347","166",
"8600000US01349","ZCTA5 01349","1091",
"8600000US01350","ZCTA5 01350","121",
"8600000US01351","ZCTA5 01351","2270",
"8600000US01354","ZCTA5 01354","1500",
"8600000US01355","ZCTA5 01355","878",
"8600000US01360","ZCTA5 01360","3032",
"8600000US01364","ZCTA5 01364","7969",
"8600000US01366","ZCTA5 01366","1277",
"8600000US01367","ZCTA5 01367","522",
"8600000US01368","ZCTA5 01368","1261",
"8600000US01370","ZCTA5 01370","4084",
"8600000US01373","ZCTA5 01373","4600",
"8600000US01375","ZCTA5 01375","3684",
"8600000US01376","ZCTA5 01376","5247",
"8600000US01378","ZCTA5 01378","774",
"8600000US01379","ZCTA5 01379","813",
"8600000US01420","ZCTA5 01420","40337",
"8600000US01430","ZCTA5 01430","6089",
"8600000US01431","ZCTA5 01431","3074",
"8600000US01432","ZCTA5 01432","7089",
"8600000US01434","ZCTA5 01434","1795",
"8600000US01436","ZCTA5 01436","3336",
"8600000US01438","ZCTA5 01438","559",
"8600000US01440","ZCTA5 01440","20347",
"8600000US01450","ZCTA5 01450","10646",
"8600000US01451","ZCTA5 01451","4747",
"8600000US01452","ZCTA5 01452","4382",
"8600000US01453","ZCTA5 01453","40883",
"8600000US01460","ZCTA5 01460","8924",
"8600000US01462","ZCTA5 01462","10086",
"8600000US01463","ZCTA5 01463","11497",
"8600000US01464","ZCTA5 01464","7211",
"8600000US01467","ZCTA5 01467","316",
"8600000US01468","ZCTA5 01468","4021",
"8600000US01469","ZCTA5 01469","6801",
"8600000US01473","ZCTA5 01473","7277",
"8600000US01474","ZCTA5 01474","2125",
