ZIP,raw_incident_count,active_agencies,incidents_per_agency,YEAR
0000 ,8649,68,127.19117647058823,2017
01002,610,2,305.0,2017
01003,284,1,284.0,2017
01007,225,1,225.0,2017
01010,52,1,52.0,2017
01012,9,1,9.0,2017
01027,382,1,382.0,2017
01028,505,1,505.0,2017
01030,1004,1,1004.0,2017
01031,124,1,124.0,2017
01032,11,1,11.0,2017
01033,88,1,88.0,2017
01035,248,1,248.0,2017
01036,79,1,79.0,2017
01038,48,1,48.0,2017
01039,9,1,9.0,2017
01040,4327,1,4327.0,2017
01054,19,1,19.0,2017
01056,548,1,548.0,2017
01057,229,1,229.0,2017
01060,1293,1,1293.0,2017
01068,14,1,14.0,2017
01069,467,1,467.0,2017
01073,94,1,94.0,2017
01075,460,1,460.0,2017
01077,194,1,194.0,2017
01081,9,1,9.0,2017
01082,449,1,449.0,2017
01083,174,1,174.0,2017
01085,1221,2,610.5,2017
01089,1969,1,1969.0,2017
01093,34,1,34.0,2017
01095,337,1,337.0,2017
01105,12505,2,6252.5,2017
01106,287,1,287.0,2017
01201,2675,1,2675.0,2017
01220,242,1,242.0,2017
01225,15,1,15.0,2017
01226,96,1,96.0,2017
01230,163,1,163.0,2017
01238,188,1,188.0,2017
01240,141,1,141.0,2017
01247,1095,2,547.5,2017
01262,76,1,76.0,2017
01267,209,1,209.0,2017
01301,767,1,767.0,2017
01331,492,1,492.0,2017
01337,54,1,54.0,2017
01342,142,1,142.0,2017
01344,155,1,155.0,2017
01360,92,1,92.0,2017
01364,229,1,229.0,2017
01370,27,1,27.0,2017
01375,67,1,67.0,2017
01376,333,1,333.0,2017
01420,1880,1,1880.0,2017
01430,111,1,111.0,2017
01432,211,1,211.0,2017
01440,955,1,955.0,2017
01450,91,1,91.0,2017
01451,78,1,78.0,2017
01453,2238,1,2238.0,2017
01460,159,1,159.0,2017
01462,309,1,309.0,2017
01463,289,1,289.0,2017
01464,120,1,120.0,2017
01468,151,1,151.0,2017
01469,97,1,97.0,2017
01473,152,1,152.0,2017
01475,538,1,538.0,2017
01501,663,1,663.0,2017
01503,79,1,79.0,2017
01504,168,1,168.0,2017
01505,24,1,24.0,2017
01507,268,1,268.0,2017
01510,74,1,74.0,2017
01515,48,1,48.0,2017
01516,136,1,136.0,2017
01519,208,1,208.0,2017
01520,155,1,155.0,2017
01521,56,1,56.0,2017
01523,158,1,158.0,2017
01524,300,1,300.0,2017
01527,328,1,328.0,2017
01529,39,1,39.0,2017
01532,254,1,254.0,2017
01540,344,1,344.0,2017
01541,41,1,41.0,2017
01543,237,1,237.0,2017
01545,296,1,296.0,2017
01550,791,1,791.0,2017
01562,174,1,174.0,2017
01564,171,1,171.0,2017
01566,346,1,346.0,2017
01568,135,1,135.0,2017
01569,293,1,293.0,2017
01570,777,1,777.0,2017
01571,193,1,193.0,2017
01581,330,1,330.0,2017
01583,140,1,140.0,2017
01588,438,1,438.0,2017
01590,205,1,205.0,2017
01608,9939,1,9939.0,2017
01612,38,1,38.0,2017
01655,151,1,151.0,2017
01702,1793,1,1793.0,2017
01719,85,1,85.0,2017
01720,469,1,469.0,2017
01721,252,1,252.0,2017
01730,123,1,123.0,2017
01740,120,1,120.0,2017
01741,50,1,50.0,2017
01742,208,1,208.0,2017
01746,79,1,79.0,2017
01747,89,1,89.0,2017
01748,157,1,157.0,2017
01749,307,1,307.0,2017
01752,1535,1,1535.0,2017
01754,203,1,203.0,2017
01756,103,1,103.0,2017
01757,737,1,737.0,2017
01760,809,1,809.0,2017
01770,36,1,36.0,2017
01772,136,1,136.0,2017
01773,92,1,92.0,2017
01775,76,1,76.0,2017
01776,192,1,192.0,2017
01778,12,1,12.0,2017
01801,951,1,951.0,2017
01803,795,1,795.0,2017
01810,679,1,679.0,2017
01821,688,1,688.0,2017
01824,809,1,809.0,2017
01826,672,1,672.0,2017
01827,50,1,50.0,2017
01830,2445,1,2445.0,2017
01833,129,1,129.0,2017
01834,41,1,41.0,2017
01844,1440,1,1440.0,2017
01845,367,1,367.0,2017
01852,5320,1,5320.0,2017
01860,61,1,61.0,2017
01864,155,1,155.0,2017
01867,381,1,381.0,2017
01876,888,1,888.0,2017
01879,262,1,262.0,2017
01880,544,1,544.0,2017
01886,194,1,194.0,2017
01887,439,1,439.0,2017
01890,165,1,165.0,2017
01902,3897,1,3897.0,2017
01906,969,1,969.0,2017
01907,368,1,368.0,2017
01908,77,1,77.0,2017
01913,372,1,372.0,2017
01915,561,1,561.0,2017
01921,86,1,86.0,2017
01923,1002,1,1002.0,2017
01930,739,1,739.0,2017
01938,186,1,186.0,2017
01940,190,1,190.0,2017
01944,72,1,72.0,2017
01945,338,1,338.0,2017
01949,193,1,193.0,2017
01950,512,1,512.0,2017
01951,124,1,124.0,2017
01952,406,1,406.0,2017
01960,1395,1,1395.0,2017
01966,55,1,55.0,2017
01969,102,1,102.0,2017
01970,2349,2,1174.5,2017
01982,92,1,92.0,2017
01983,61,1,61.0,2017
01984,23,1,23.0,2017
01985,117,1,117.0,2017
02019,551,1,551.0,2017
02021,405,1,405.0,2017
02025,163,1,163.0,2017
02026,626,1,626.0,2017
02030,50,1,50.0,2017
02035,537,1,537.0,2017
02038,172,1,172.0,2017
02043,436,1,436.0,2017
02045,301,1,301.0,2017
02048,628,1,628.0,2017
02050,239,1,239.0,2017
02053,102,1,102.0,2017
02054,62,1,62.0,2017
02056,90,1,90.0,2017
02061,82,1,82.0,2017
02062,735,1,735.0,2017
02066,202,1,202.0,2017
02067,188,1,188.0,2017
02072,901,1,901.0,2017
02081,639,1,639.0,2017
02090,329,1,329.0,2017
02093,301,1,301.0,2017
02114,66,1,66.0,2017
02120,3079,1,3079.0,2017
02125,65,1,65.0,2017
02142,3959,1,3959.0,2017
02143,1861,1,1861.0,2017
02148,1584,1,1584.0,2017
02149,1509,1,1509.0,2017
02150,2324,1,2324.0,2017
02151,2286,1,2286.0,2017
02152,357,1,357.0,2017
02154,1406,1,1406.0,2017
02155,1271,1,1271.0,2017
02169,3258,1,3258.0,2017
02176,419,1,419.0,2017
02180,433,1,433.0,2017
02184,1112,1,1112.0,2017
02186,298,1,298.0,2017
02188,1333,1,1333.0,2017
02302,5442,2,2721.0,2017
02324,413,1,413.0,2017
02325,93,1,93.0,2017
02330,284,1,284.0,2017
02332,219,1,219.0,2017
02333,371,1,371.0,2017
02338,160,1,160.0,2017
02339,235,1,235.0,2017
02341,188,1,188.0,2017
02343,309,1,309.0,2017
02346,666,1,666.0,2017
02347,200,1,200.0,2017
02351,380,1,380.0,2017
02356,398,1,398.0,2017
02359,274,1,274.0,2017
02360,1384,1,1384.0,2017
02364,324,1,324.0,2017
02367,39,1,39.0,2017
02368,1159,1,1159.0,2017
02379,224,1,224.0,2017
02382,291,1,291.0,2017
02420,230,1,230.0,2017
02445,944,1,944.0,2017
02465,1171,1,1171.0,2017
02472,748,1,748.0,2017
02474,663,1,663.0,2017
02478,378,1,378.0,2017
02482,284,1,284.0,2017
02492,435,1,435.0,2017
02493,83,1,83.0,2017
02532,651,1,651.0,2017
02535,28,2,14.0,2017
02539,141,1,141.0,2017
02540,1389,1,1389.0,2017
02554,603,1,603.0,2017
02557,193,1,193.0,2017
02563,509,1,509.0,2017
02571,975,1,975.0,2017
02575,210,2,105.0,2017
02601,1676,1,1676.0,2017
02631,220,1,220.0,2017
02633,156,1,156.0,2017
02642,123,1,123.0,2017
02645,325,1,325.0,2017
02649,409,1,409.0,2017
02653,156,1,156.0,2017
02657,289,1,289.0,2017
02660,640,1,640.0,2017
02666,85,1,85.0,2017
02667,86,1,86.0,2017
02673,938,1,938.0,2017
02703,1520,1,1520.0,2017
02717,236,1,236.0,2017
02719,675,1,675.0,2017
02721,4574,1,4574.0,2017
02726,471,1,471.0,2017
02738,124,1,124.0,2017
02739,118,1,118.0,2017
02740,7876,1,7876.0,2017
02743,229,1,229.0,2017
02748,1261,1,1261.0,2017
02760,780,1,780.0,2017
02762,213,1,213.0,2017
02766,27,1,27.0,2017
02767,370,1,370.0,2017
02769,205,1,205.0,2017
02770,111,1,111.0,2017
02771,520,1,520.0,2017
02777,492,1,492.0,2017
02779,81,1,81.0,2017
02780,1248,1,1248.0,2017
02790,306,1,306.0,2017
02806,371,1,371.0,2017
02809,330,1,330.0,2017
02813,143,1,143.0,2017
02814,101,1,101.0,2017
02816,1161,1,1161.0,2017
02817,157,1,157.0,2017
02818,310,1,310.0,2017
02825,89,1,89.0,2017
02831,126,1,126.0,2017
02833,253,1,253.0,2017
02835,110,1,110.0,2017
02837,80,1,80.0,2017
02840,1929,1,1929.0,2017
02842,506,1,506.0,2017
02852,805,2,402.5,2017
02857,1035,2,517.5,2017
02858,285,1,285.0,2017
02860,4261,1,4261.0,2017
02863,937,1,937.0,2017
02864,640,1,640.0,2017
02865,989,2,494.5,2017
02871,410,2,205.0,2017
02878,569,1,569.0,2017
02879,535,1,535.0,2017
02881,210,1,210.0,2017
02882,354,1,354.0,2017
02885,414,1,414.0,2017
02886,2766,2,1383.0,2017
02891,1008,1,1008.0,2017
02893,880,1,880.0,2017
02895,2803,2,1401.5,2017
02898,354,2,177.0,2017
02903,12564,1,12564.0,2017
02904,769,1,769.0,2017
02908,62,1,62.0,2017
02914,1434,1,1434.0,2017
02917,469,1,469.0,2017
02919,736,1,736.0,2017
02920,2742,1,2742.0,2017
03031,345,1,345.0,2017
03032,96,1,96.0,2017
03033,128,1,128.0,2017
03034,84,1,84.0,2017
03036,191,1,191.0,2017
03037,83,1,83.0,2017
03038,1542,1,1542.0,2017
03042,370,1,370.0,2017
03044,107,1,107.0,2017
03045,568,1,568.0,2017
03046,88,1,88.0,2017
03048,17,1,17.0,2017
03049,280,1,280.0,2017
03051,877,1,877.0,2017
03052,121,1,121.0,2017
03053,816,1,816.0,2017
03054,655,1,655.0,2017
03055,417,1,417.0,2017
03057,43,1,43.0,2017
03061,3714,1,3714.0,2017
03070,125,1,125.0,2017
03071,129,1,129.0,2017
03076,453,1,453.0,2017
03077,440,1,440.0,2017
03079,1383,1,1383.0,2017
03082,28,1,28.0,2017
03086,134,1,134.0,2017
03087,305,1,305.0,2017
03101,7983,1,7983.0,2017
03106,602,1,602.0,2017
03110,664,1,664.0,2017
03215,32,1,32.0,2017
03217,118,1,118.0,2017
03220,442,1,442.0,2017
03221,22,1,22.0,2017
03222,206,2,103.0,2017
03223,212,1,212.0,2017
03224,58,1,58.0,2017
03225,209,1,209.0,2017
03226,32,1,32.0,2017
03227,43,1,43.0,2017
03229,90,1,90.0,2017
03234,160,1,160.0,2017
03235,473,1,473.0,2017
03242,213,1,213.0,2017
03244,482,2,241.0,2017
03245,51,1,51.0,2017
03246,1513,1,1513.0,2017
03249,499,1,499.0,2017
03251,140,1,140.0,2017
03253,208,1,208.0,2017
03254,106,1,106.0,2017
03255,30,1,30.0,2017
03256,71,1,71.0,2017
03257,99,1,99.0,2017
03258,100,1,100.0,2017
03261,145,1,145.0,2017
03262,143,1,143.0,2017
03263,148,1,148.0,2017
03264,527,1,527.0,2017
03269,110,1,110.0,2017
03275,428,2,214.0,2017
03276,668,2,334.0,2017
03278,56,1,56.0,2017
03280,26,1,26.0,2017
03281,223,1,223.0,2017
03284,10,1,10.0,2017
03285,68,1,68.0,2017
03290,73,1,73.0,2017
03301,2394,2,1197.0,2017
03302,82,1,82.0,2017
03303,165,2,82.5,2017
03304,168,1,168.0,2017
03307,135,1,135.0,2017
03431,1591,2,795.5,2017
03440,109,1,109.0,2017
03442,41,1,41.0,2017
03444,35,1,35.0,2017
03447,45,1,45.0,2017
03449,43,1,43.0,2017
03451,192,1,192.0,2017
03452,205,1,205.0,2017
03455,65,1,65.0,2017
03458,217,1,217.0,2017
03461,204,1,204.0,2017
03465,45,1,45.0,2017
03470,178,1,178.0,2017
03561,389,1,389.0,2017
03570,576,1,576.0,2017
03574,70,1,70.0,2017
03576,83,1,83.0,2017
03580,50,1,50.0,2017
03581,103,1,103.0,2017
03582,55,1,55.0,2017
03584,104,1,104.0,2017
03585,51,1,51.0,2017
03586,11,1,11.0,2017
03592,14,1,14.0,2017
03595,104,1,104.0,2017
03598,48,2,24.0,2017
03602,3,1,3.0,2017
03603,93,1,93.0,2017
03741,149,1,149.0,2017
03743,753,1,753.0,2017
03745,26,1,26.0,2017
03748,111,1,111.0,2017
03753,42,1,42.0,2017
03755,290,1,290.0,2017
03766,1093,1,1093.0,2017
03773,429,1,429.0,2017
03774,267,2,133.5,2017
03777,2,1,2.0,2017
03782,71,1,71.0,2017
03801,1312,2,656.0,2017
03809,132,1,132.0,2017
03811,84,1,84.0,2017
03813,670,1,670.0,2017
03814,183,1,183.0,2017
03815,28,1,28.0,2017
03816,53,1,53.0,2017
03819,82,1,82.0,2017
03820,847,2,423.5,2017
03823,22,1,22.0,2017
03824,306,1,306.0,2017
03825,176,1,176.0,2017
03827,44,2,22.0,2017
03833,557,4,139.25,2017
03835,498,1,498.0,2017
03836,8,1,8.0,2017
03837,87,1,87.0,2017
03840,72,1,72.0,2017
03841,208,1,208.0,2017
03842,653,1,653.0,2017
03844,76,1,76.0,2017
03845,74,1,74.0,2017
03846,24,1,24.0,2017
03848,95,1,95.0,2017
03849,55,1,55.0,2017
03851,204,1,204.0,2017
03854,28,1,28.0,2017
03855,87,1,87.0,2017
03856,32,1,32.0,2017
03857,206,1,206.0,2017
03858,102,1,102.0,2017
03861,88,1,88.0,2017
03862,171,1,171.0,2017
03864,206,1,206.0,2017
03865,362,1,362.0,2017
03867,2622,1,2622.0,2017
03869,71,1,71.0,2017
03870,147,1,147.0,2017
03872,228,1,228.0,2017
03873,77,1,77.0,2017
03874,562,1,562.0,2017
03878,902,1,902.0,2017
03882,29,1,29.0,2017
03885,155,1,155.0,2017
03886,31,1,31.0,2017
03887,50,1,50.0,2017
03894,258,1,258.0,2017
03903,72,1,72.0,2017
03904,291,1,291.0,2017
03909,339,1,339.0,2017
04005,1831,1,1831.0,2017
04043,149,1,149.0,2017
04046,58,1,58.0,2017
04064,418,1,418.0,2017
04072,1004,1,1004.0,2017
04074,598,1,598.0,2017
04090,228,1,228.0,2017
04106,1157,1,1157.0,2017
04210,1370,1,1370.0,2017
04240,1692,1,1692.0,2017
04250,315,1,315.0,2017
04259,50,1,50.0,2017
04330,1626,2,813.0,2017
04901,1370,2,685.0,2017
04938,391,2,195.5,2017
04947,54,1,54.0,2017
04950,913,1,913.0,2017
04963,167,1,167.0,2017
04976,658,1,658.0,2017
05001,299,1,299.0,2017
05030,35,1,35.0,2017
05032,224,1,224.0,2017
05033,33,1,33.0,2017
05038,57,1,57.0,2017
05055,35,1,35.0,2017
05060,55,1,55.0,2017
05068,25,1,25.0,2017
05075,23,1,23.0,2017
05089,63,1,63.0,2017
05091,83,2,41.5,2017
05101,176,1,176.0,2017
05143,54,1,54.0,2017
05149,34,1,34.0,2017
05156,386,1,386.0,2017
05201,767,2,383.5,2017
05255,110,1,110.0,2017
05262,209,1,209.0,2017
05301,824,1,824.0,2017
05340,21,1,21.0,2017
05345,85,1,85.0,2017
05356,123,1,123.0,2017
05363,36,1,36.0,2017
05401,2270,1,2270.0,2017
05402,7,1,7.0,2017
05403,833,1,833.0,2017
05405,243,1,243.0,2017
05443,65,1,65.0,2017
05446,504,1,504.0,2017
05452,527,1,527.0,2017
05461,32,1,32.0,2017
05472,300,1,300.0,2017
05474,72,1,72.0,2017
05477,61,1,61.0,2017
05478,1589,3,529.6666666666666,2017
05482,96,1,96.0,2017
