ZIP,SCHOOL_YEAR,school_count,abs_change,pct_growth
00601,1718,6.0,0.0,0.0
00602,1718,18.0,0.0,0.0
00603,1718,13.0,0.0,0.0
00604,1718,1.0,0.0,0.0
00605,1718,8.0,0.0,0.0
00606,1718,5.0,0.0,0.0
00610,1718,11.0,0.0,0.0
00612,1718,14.0,0.0,0.0
00614,1718,16.0,0.0,0.0
00617,1718,9.0,0.0,0.0
00623,1718,15.0,0.0,0.0
00624,1718,12.0,0.0,0.0
00627,1718,12.0,0.0,0.0
00631,1718,2.0,0.0,0.0
00637,1718,9.0,0.0,0.0
00638,1718,10.0,0.0,0.0
00641,1718,16.0,0.0,0.0
00646,1718,12.0,0.0,0.0
00650,1718,5.0,0.0,0.0
00653,1718,9.0,0.0,0.0
00656,1718,9.0,0.0,0.0
00659,1718,12.0,0.0,0.0
00660,1718,7.0,0.0,0.0
00662,1718,19.0,0.0,0.0
00664,1718,11.0,0.0,0.0
00667,1718,10.0,0.0,0.0
00669,1718,13.0,0.0,0.0
00670,1718,7.0,0.0,0.0
00674,1718,15.0,0.0,0.0
00676,1718,13.0,0.0,0.0
00677,1718,6.0,0.0,0.0
00678,1718,9.0,0.0,0.0
00680,1718,24.0,0.0,0.0
00682,1718,6.0,0.0,0.0
00683,1718,15.0,0.0,0.0
00685,1718,19.0,0.0,0.0
00687,1718,14.0,0.0,0.0
00692,1718,12.0,0.0,0.0
00693,1718,20.0,0.0,0.0
00698,1718,19.0,0.0,0.0
00703,1718,11.0,0.0,0.0
00705,1718,12.0,0.0,0.0
00707,1718,6.0,0.0,0.0
00714,1718,9.0,0.0,0.0
00715,1718,2.0,0.0,0.0
00717,1718,1.0,0.0,0.0
00718,1718,10.0,0.0,0.0
00719,1718,14.0,0.0,0.0
00720,1718,14.0,0.0,0.0
00723,1718,11.0,0.0,0.0
00725,1718,37.0,0.0,0.0
00726,1718,1.0,0.0,0.0
00727,1718,9.0,0.0,0.0
00728,1718,1.0,0.0,0.0
00729,1718,5.0,0.0,0.0
00731,1718,45.0,0.0,0.0
00732,1718,1.0,0.0,0.0
00733,1718,6.0,0.0,0.0
00735,1718,2.0,0.0,0.0
00736,1718,13.0,0.0,0.0
00737,1718,7.0,0.0,0.0
00738,1718,11.0,0.0,0.0
00739,1718,12.0,0.0,0.0
00742,1718,3.0,0.0,0.0
00745,1718,24.0,0.0,0.0
00751,1718,17.0,0.0,0.0
00754,1718,13.0,0.0,0.0
00757,1718,10.0,0.0,0.0
00765,1718,7.0,0.0,0.0
00766,1718,14.0,0.0,0.0
00767,1718,17.0,0.0,0.0
00769,1718,18.0,0.0,0.0
00771,1718,11.0,0.0,0.0
00772,1718,10.0,0.0,0.0
00773,1718,7.0,0.0,0.0
00775,1718,1.0,0.0,0.0
00777,1718,13.0,0.0,0.0
00778,1718,10.0,0.0,0.0
00780,1718,4.0,0.0,0.0
00782,1718,13.0,0.0,0.0
00783,1718,14.0,0.0,0.0
00784,1718,11.0,0.0,0.0
00785,1718,6.0,0.0,0.0
00791,1718,12.0,0.0,0.0
00792,1718,13.0,0.0,0.0
00794,1718,15.0,0.0,0.0
00795,1718,18.0,0.0,0.0
00802,1718,12.0,0.0,0.0
00804,1718,1.0,0.0,0.0
00820,1718,6.0,0.0,0.0
00831,1718,1.0,0.0,0.0
00840,1718,3.0,0.0,0.0
00850,1718,4.0,0.0,0.0
00851,1718,1.0,0.0,0.0
00901,1718,5.0,0.0,0.0
00902,1718,0.0,0.0,0.0
00906,1718,1.0,0.0,0.0
00907,1718,3.0,0.0,0.0
00908,1718,1.0,0.0,0.0
00909,1718,4.0,0.0,0.0
00910,1718,1.0,0.0,0.0
00912,1718,1.0,0.0,0.0
00913,1718,1.0,0.0,0.0
00914,1718,2.0,0.0,0.0
00915,1718,13.0,0.0,0.0
00916,1718,1.0,0.0,0.0
00917,1718,2.0,0.0,0.0
00918,1718,0.0,0.0,0.0
00919,1718,2.0,0.0,0.0
00920,1718,2.0,0.0,0.0
00921,1718,6.0,0.0,0.0
00923,1718,8.0,0.0,0.0
00924,1718,19.0,0.0,0.0
00925,1718,3.0,0.0,0.0
00926,1718,8.0,0.0,0.0
00927,1718,2.0,0.0,0.0
00928,1718,33.0,0.0,0.0
00949,1718,13.0,0.0,0.0
00950,1718,3.0,0.0,0.0
00951,1718,5.0,0.0,0.0
00953,1718,10.0,0.0,0.0
00954,1718,4.0,0.0,0.0
00956,1718,30.0,0.0,0.0
00957,1718,9.0,0.0,0.0
00959,1718,8.0,0.0,0.0
00960,1718,7.0,0.0,0.0
00961,1718,6.0,0.0,0.0
00962,1718,9.0,0.0,0.0
00963,1718,2.0,0.0,0.0
00965,1718,0.0,0.0,0.0
00966,1718,0.0,0.0,0.0
00969,1718,2.0,0.0,0.0
00970,1718,15.0,0.0,0.0
00971,1718,3.0,0.0,0.0
00976,1718,12.0,0.0,0.0
00977,1718,3.0,0.0,0.0
00979,1718,7.0,0.0,0.0
00983,1718,9.0,0.0,0.0
00984,1718,2.0,0.0,0.0
00985,1718,10.0,0.0,0.0
00986,1718,3.0,0.0,0.0
00987,1718,7.0,0.0,0.0
00988,1718,1.0,0.0,0.0
01001,1718,6.0,0.0,0.0
01002,1718,6.0,0.0,0.0
01005,1718,4.0,0.0,0.0
01007,1718,5.0,0.0,0.0
01010,1718,1.0,0.0,0.0
01011,1718,1.0,0.0,0.0
01012,1718,1.0,0.0,0.0
01013,1718,3.0,0.0,0.0
01020,1718,10.0,0.0,0.0
01022,1718,3.0,0.0,0.0
01027,1718,8.0,0.0,0.0
01028,1718,5.0,0.0,0.0
01030,1718,2.0,0.0,0.0
01031,1718,1.0,0.0,0.0
01033,1718,3.0,0.0,0.0
01034,1718,1.0,0.0,0.0
01035,1718,3.0,0.0,0.0
01036,1718,2.0,0.0,0.0
01038,1718,2.0,0.0,0.0
01040,1718,14.0,0.0,0.0
01050,1718,3.0,0.0,0.0
01053,1718,1.0,0.0,0.0
01054,1718,1.0,0.0,0.0
01056,1718,5.0,0.0,0.0
01057,1718,3.0,0.0,0.0
01060,1718,4.0,0.0,0.0
01062,1718,2.0,0.0,0.0
01068,1718,1.0,0.0,0.0
01069,1718,4.0,0.0,0.0
01071,1718,1.0,0.0,0.0
01072,1718,1.0,0.0,0.0
01073,1718,1.0,0.0,0.0
01075,1718,5.0,0.0,0.0
01077,1718,3.0,0.0,0.0
01081,1718,1.0,0.0,0.0
01082,1718,3.0,0.0,0.0
01083,1718,2.0,0.0,0.0
01085,1718,11.0,0.0,0.0
01089,1718,10.0,0.0,0.0
01092,1718,1.0,0.0,0.0
01093,1718,1.0,0.0,0.0
01095,1718,5.0,0.0,0.0
01096,1718,1.0,0.0,0.0
01098,1718,1.0,0.0,0.0
01102,1718,2.0,0.0,0.0
01103,1718,1.0,0.0,0.0
01104,1718,11.0,0.0,0.0
01105,1718,7.0,0.0,0.0
01106,1718,6.0,0.0,0.0
01107,1718,6.0,0.0,0.0
01108,1718,9.0,0.0,0.0
01109,1718,15.0,0.0,0.0
01118,1718,3.0,0.0,0.0
01119,1718,2.0,0.0,0.0
01128,1718,2.0,0.0,0.0
01129,1718,3.0,0.0,0.0
01151,1718,4.0,0.0,0.0
01201,1718,12.0,0.0,0.0
01202,1718,0.0,0.0,0.0
01220,1718,2.0,0.0,0.0
01223,1718,1.0,0.0,0.0
01225,1718,3.0,0.0,0.0
01226,1718,3.0,0.0,0.0
01230,1718,3.0,0.0,0.0
01235,1718,1.0,0.0,0.0
01237,1718,2.0,0.0,0.0
01238,1718,2.0,0.0,0.0
01240,1718,2.0,0.0,0.0
01247,1718,7.0,0.0,0.0
01253,1718,1.0,0.0,0.0
01254,1718,1.0,0.0,0.0
01256,1718,1.0,0.0,0.0
01257,1718,5.0,0.0,0.0
01258,1718,0.0,0.0,0.0
01267,1718,2.0,0.0,0.0
01301,1718,10.0,0.0,0.0
01330,1718,1.0,0.0,0.0
01331,1718,4.0,0.0,0.0
01337,1718,1.0,0.0,0.0
01339,1718,1.0,0.0,0.0
01340,1718,1.0,0.0,0.0
01341,1718,1.0,0.0,0.0
01344,1718,1.0,0.0,0.0
01346,1718,1.0,0.0,0.0
01351,1718,2.0,0.0,0.0
01354,1718,1.0,0.0,0.0
01355,1718,1.0,0.0,0.0
01360,1718,2.0,0.0,0.0
01364,1718,3.0,0.0,0.0
01366,1718,1.0,0.0,0.0
01367,1718,1.0,0.0,0.0
01368,1718,1.0,0.0,0.0
01370,1718,2.0,0.0,0.0
01373,1718,2.0,0.0,0.0
01375,1718,1.0,0.0,0.0
01376,1718,3.0,0.0,0.0
01378,1718,1.0,0.0,0.0
01420,1718,10.0,0.0,0.0
01430,1718,3.0,0.0,0.0
01431,1718,1.0,0.0,0.0
01432,1718,2.0,0.0,0.0
01434,1718,1.0,0.0,0.0
01436,1718,4.0,0.0,0.0
01440,1718,7.0,0.0,0.0
01450,1718,4.0,0.0,0.0
01451,1718,2.0,0.0,0.0
01452,1718,1.0,0.0,0.0
01453,1718,12.0,0.0,0.0
01460,1718,4.0,0.0,0.0
01462,1718,5.0,0.0,0.0
01463,1718,3.0,0.0,0.0
01464,1718,2.0,0.0,0.0
01468,1718,0.0,0.0,0.0
01469,1718,4.0,0.0,0.0
01473,1718,2.0,0.0,0.0
01475,1718,6.0,0.0,0.0
01501,1718,5.0,0.0,0.0
01503,1718,1.0,0.0,0.0
01504,1718,4.0,0.0,0.0
01505,1718,2.0,0.0,0.0
01506,1718,1.0,0.0,0.0
01507,1718,4.0,0.0,0.0
01510,1718,3.0,0.0,0.0
01515,1718,1.0,0.0,0.0
01516,1718,4.0,0.0,0.0
01518,1718,3.0,0.0,0.0
01519,1718,4.0,0.0,0.0
01520,1718,5.0,0.0,0.0
01521,1718,1.0,0.0,0.0
01522,1718,1.0,0.0,0.0
01523,1718,2.0,0.0,0.0
01524,1718,4.0,0.0,0.0
01527,1718,3.0,0.0,0.0
01529,1718,1.0,0.0,0.0
01531,1718,1.0,0.0,0.0
01532,1718,6.0,0.0,0.0
01535,1718,2.0,0.0,0.0
01536,1718,1.0,0.0,0.0
01540,1718,5.0,0.0,0.0
01541,1718,1.0,0.0,0.0
01543,1718,3.0,0.0,0.0
01545,1718,9.0,0.0,0.0
01550,1718,5.0,0.0,0.0
01560,1718,1.0,0.0,0.0
01562,1718,3.0,0.0,0.0
01564,1718,2.0,0.0,0.0
01566,1718,2.0,0.0,0.0
01568,1718,3.0,0.0,0.0
01569,1718,5.0,0.0,0.0
01570,1718,3.0,0.0,0.0
01571,1718,4.0,0.0,0.0
01581,1718,10.0,0.0,0.0
01583,1718,2.0,0.0,0.0
01585,1718,1.0,0.0,0.0
01588,1718,4.0,0.0,0.0
01590,1718,4.0,0.0,0.0
01602,1718,7.0,0.0,0.0
01603,1718,8.0,0.0,0.0
01604,1718,7.0,0.0,0.0
01605,1718,10.0,0.0,0.0
01606,1718,8.0,0.0,0.0
01607,1718,2.0,0.0,0.0
01609,1718,2.0,0.0,0.0
01610,1718,4.0,0.0,0.0
01612,1718,1.0,0.0,0.0
01701,1718,15.0,0.0,0.0
01702,1718,1.0,0.0,0.0
01719,1718,1.0,0.0,0.0
01720,1718,8.0,0.0,0.0
01721,1718,5.0,0.0,0.0
01730,1718,4.0,0.0,0.0
01731,1718,2.0,0.0,0.0
01740,1718,2.0,0.0,0.0
01741,1718,1.0,0.0,0.0
01742,1718,5.0,0.0,0.0
01746,1718,4.0,0.0,0.0
01747,1718,3.0,0.0,0.0
01748,1718,6.0,0.0,0.0
01749,1718,5.0,0.0,0.0
01752,1718,8.0,0.0,0.0
01754,1718,3.0,0.0,0.0
01756,1718,2.0,0.0,0.0
01757,1718,6.0,0.0,0.0
01760,1718,8.0,0.0,0.0
01770,1718,1.0,0.0,0.0
01772,1718,4.0,0.0,0.0
01773,1718,1.0,0.0,0.0
01775,1718,2.0,0.0,0.0
01776,1718,6.0,0.0,0.0
01778,1718,5.0,0.0,0.0
01801,1718,11.0,0.0,0.0
01803,1718,6.0,0.0,0.0
01810,1718,11.0,0.0,0.0
01821,1718,8.0,0.0,0.0
01824,1718,6.0,0.0,0.0
01826,1718,6.0,0.0,0.0
01827,1718,1.0,0.0,0.0
01830,1718,9.0,0.0,0.0
01832,1718,6.0,0.0,0.0
01833,1718,4.0,0.0,0.0
01834,1718,1.0,0.0,0.0
01835,1718,5.0,0.0,0.0
01840,1718,4.0,0.0,0.0
01841,1718,20.0,0.0,0.0
01843,1718,6.0,0.0,0.0
01844,1718,6.0,0.0,0.0
01845,1718,7.0,0.0,0.0
01850,1718,2.0,0.0,0.0
01851,1718,8.0,0.0,0.0
